,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
83,仓储运营数据分析经理,10-20K,3-5年,本科,百世集团,杭州 西湖区 古荡,物流/仓储,已上市,10000人以上,https://www.zhipin.com/job_detail/89f87dc27ddedccc0XB63tq8Ew~~.html
84,数据分析专家（业务分析）,8-13K,1-3年,本科,菜划算,杭州  ,新零售,B轮,100-499人,https://www.zhipin.com/job_detail/83c48374a333d9711HB90tW5E1Q~.html
85,数据分析工程师,12-22K,3-5年,本科,银基富力信息技术,杭州 拱墅区 拱宸桥,计算机软件,天使轮,20-99人,https://www.zhipin.com/job_detail/46e1f7e14b1812a91nFy3di1F1Q~.html
86,高级数据分析师,12-18K,经验不限,本科,个推,杭州 西湖区 文一路,移动互联网,已上市,500-999人,https://www.zhipin.com/job_detail/0f867f870349fe651HR509m8EFc~.html
87,高级/资深数据分析师（仓储物流）,25-40K,3-5年,本科,网易杭州,杭州 滨江区 长河,互联网,已上市,10000人以上,https://www.zhipin.com/job_detail/8814a63b287c9f0d1XN_292_GVI~.html
88,"数据分析师（KPI,财务方向）JD",15-30K,3-5年,本科,新康众集团,杭州 余杭区 仓前,新零售,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/7b21ff0b879b603d1HJ52di4GFI~.html
89,高级数据分析师/数据分析专家,15-30K,3-5年,本科,嘉云数据,杭州 西湖区 文三,移动互联网,C轮,500-999人,https://www.zhipin.com/job_detail/32d4d065e1c0b90b1XV-2967EFo~.html
90,资深数据分析,15-25K,5-10年,本科,微脉,杭州 余杭区 仓前,移动互联网,C轮,500-999人,https://www.zhipin.com/job_detail/c34323cd700a56d81XV809u6EFY~.html
91,数据分析工程师,20-25K,1-3年,本科,杭州市民卡,杭州 上城区 近江,互联网,未融资,100-499人,https://www.zhipin.com/job_detail/d08ee13585ade6081HB72dW7F1s~.html
92,数据分析师,20-40K,3-5年,大专,一览科技,杭州 滨江区 西兴,企业服务,A轮,20-99人,https://www.zhipin.com/job_detail/7dc42e668298df431HR_3tm9FFM~.html
93,高级数据分析师/数据分析专家,20-40K,5-10年,本科,嘉云数据,杭州 西湖区 文三,移动互联网,C轮,500-999人,https://www.zhipin.com/job_detail/7e6f76737f63e4af1XV-2t29F1o~.html
94,影视舆情数据分析经理,5-8K,1-3年,大专,通明传媒,杭州 滨江区 浦沿,广告营销,不需要融资,100-499人,https://www.zhipin.com/job_detail/cdf4581d0dce37f01Xd429i6EVo~.html
95,数据分析实习生（金融产品）,2-4/天,经验不限,本科,吉利集团,杭州  ,汽车生产,已上市,10000人以上,https://www.zhipin.com/job_detail/f20f368e948ba2211HFz3tm8FlI~.html
96,资深数据分析师/数据分析专家,20-35K,3-5年,本科,贝贝集团,杭州 江干区 九堡,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/d87b7c387b6cd90b1Xd_3dW0GFE~.html
97,数据分析师,15-16K,1-3年,本科,杭州泰基科技有限...,杭州  ,企业服务,A轮,20-99人,https://www.zhipin.com/job_detail/ed468406d7abe1ad1XF53964FFc~.html
98,数据分析师（线下数据、商业分析方向）,10-15K,经验不限,本科,个推,杭州 西湖区 文一路,移动互联网,已上市,500-999人,https://www.zhipin.com/job_detail/46b7c0eccd81a35c1Hd63dS-F1c~.html
99,数据分析师（城市规划方向）,10-15K,经验不限,本科,个推,杭州 西湖区 文一路,移动互联网,已上市,500-999人,https://www.zhipin.com/job_detail/9ae2a2beaf984aa21Hd63dS5ElA~.html
100,BI数据分析师,15-25K,3-5年,本科,51信用卡管家,杭州 西湖区 西溪,移动互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/c334c2b2ddd3d7b71HF_2d2-Elo~.html
101,数据分析专家（偏业务经营分析）,8-13K,3-5年,本科,菜划算,杭州  ,新零售,B轮,100-499人,https://www.zhipin.com/job_detail/ae32de94c038d3051HB43di0FlY~.html
102,数据分析专家,12-22K,3-5年,硕士,传化物流,杭州 萧山区 奥体,互联网,已上市,10000人以上,https://www.zhipin.com/job_detail/fca5a8051caa92101HR709m0ElA~.html
103,数据分析师,6-10K,1-3年,本科,浙江珂楹,杭州 余杭区 乔司,服装/纺织/皮革,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/7438c075537279a61HZ_0tW8FVs~.html
104,BI数据分析师,11-22K,1-3年,本科,51信用卡管家,杭州 西湖区 西溪,移动互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/0bf536fa614b799c1HFy3t-4GFY~.html
105,数据分析工程师,12-24K,3-5年,本科,壹向 ,杭州  ,互联网,不需要融资,100-499人,https://www.zhipin.com/job_detail/09f2450955e2e4ba1nZ83dS_FFo~.html
106,数据分析工程师,13-26K,1-3年,本科,个推,杭州 西湖区 文一路,移动互联网,已上市,500-999人,https://www.zhipin.com/job_detail/bb69c33ab218f6ca1nJ-2d64EVU~.html
107,数据分析师,6-8K,3-5年,本科,远方科技,杭州 拱墅区 拱宸桥,企业服务,未融资,100-499人,https://www.zhipin.com/job_detail/d4f3757330a5f78f1nN62N26F1I~.html
108,数据分析,9-15K,1-3年,大专,金泰亚盛,杭州 江干区 近江,计算机软件,D轮及以上,100-499人,https://www.zhipin.com/job_detail/d6068bac4b240ceb1Xx82tu1EVo~.html
109,BI数据分析师,14-25K,1-3年,学历不限,51信用卡管家,杭州 西湖区 西溪,移动互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/594188f8faca7fb71HF_09-9FVo~.html
110,电商数据分析,6-8K,1-3年,大专,拉夏贝尔,杭州 江干区 白杨,服装/纺织/皮革,已上市,10000人以上,https://www.zhipin.com/job_detail/b931c57db64150e31XJ73Nu8GVE~.html
