,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
140,（贷后）资深数据分析,30k-40k,3-5年,本科,vivo,深圳 宝安区 宝安中心,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/2ee70f5c8726020a1X142N25GFs~.html
168,高级\资深数据分析师,25k-40k,5-10年,本科,vivo,深圳 宝安区 宝安中心,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/7ef3639c70b772071HZ929-5GVQ~.html
182,数据分析工程师/专家,10-20K,经验不限,本科,vivo,深圳 福田区 梅林,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/4bbd9124a07ff5821X183tW-FFI~.html
247,高级数据分析师,30k-60k,5-10年,本科,vivo,深圳 福田区 梅林,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/e7cf74c9cad911f61HR-39i_F1U~.html
248,数据分析/挖掘,30k-40k,3-5年,本科,vivo,深圳 福田区 梅林,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/c2b7c72c0fc138611X1_39i9ElI~.html
253,数据分析师/数据仓库开发工程师,20k-40k,5-10年,本科,vivo,深圳 福田区 梅林,移动互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/0bf6c7dc424b7ca81HV63du5GFQ~.html
63,数据分析师,18k-30k,3-5年,学历不限,阿卡索外教网,深圳 罗湖区 国贸,在线教育,C轮,1000-9999人,https://www.zhipin.com/job_detail/bed5f6eba05c41b81Xx63N29GFI~.html
64,数据分析师,18k-30k,3-5年,本科,阿卡索外教网,深圳 罗湖区 国贸,在线教育,C轮,1000-9999人,https://www.zhipin.com/job_detail/eb9544f8b7401a321Xx7292-F1A~.html
242,数据分析专员,5k-7k,1-3年,大专,爱迪尔珠宝,深圳 罗湖区 翠竹,其他行业,已上市,500-999人,https://www.zhipin.com/job_detail/52bb5a30d4a6028d1XZ80t67GVo~.html
71,数据分析师,4k-6k,应届生,大专,爱华教育集团,深圳 福田区 上步,在线教育,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/6205bf150c969af31XVy2dW0EFQ~.html
172,体育数据分析,6k-12k,5-10年,本科,傲雷科技,深圳 宝安区 新安,互联网,未融资,20-99人,https://www.zhipin.com/job_detail/e22ef786cde691091nB92NS9EVA~.html
159,数据分析实习生,4k-6k,应届生,硕士,白骑士,深圳 南山区 科技园,互联网,天使轮,20-99人,https://www.zhipin.com/job_detail/9a2897e1d43833531nZz292_GFs~.html
162,数据分析师,15k-30k,3-5年,本科,白骑士,深圳 南山区 科技园,互联网,天使轮,20-99人,https://www.zhipin.com/job_detail/bb7716e56d9ea76c1nR_0ti4EFE~.html
115,数据分析师,15k-30k,1-3年,本科,百度,深圳 南山区 科技园,互联网,已上市,10000人以上,https://www.zhipin.com/job_detail/a2096eb2895e028b1Xx92NW-Els~.html
221,CDN数据分析工程师,25-35K,1-3年,硕士,百度,深圳 南山区 科技园,互联网,已上市,10000人以上,https://www.zhipin.com/job_detail/438bc13e9af0920f1HZy2NW1FFE~.html
69,数据分析师,6k-10k,1-3年,本科,百丽,深圳 南山区 深圳湾,其他行业,不需要融资,500-999人,https://www.zhipin.com/job_detail/db71beabe096e7c70nB_0ti8Fw~~.html
95,数据分析主管,8k-12k,3-5年,本科,百丽,深圳 南山区 深圳湾,其他行业,不需要融资,500-999人,https://www.zhipin.com/job_detail/0bc4d70e483c8aa01HJ609y-F1s~.html
134,数据分析师,6k-10k,1-3年,大专,百丽,深圳 南山区 深圳湾,其他行业,不需要融资,500-999人,https://www.zhipin.com/job_detail/5d8f792c992278991XRy0tu1Els~.html
215,数据分析师,6-9K,1-3年,本科,百丽,深圳 南山区 深圳湾,其他行业,不需要融资,500-999人,https://www.zhipin.com/job_detail/5dfc6a9336280deb1X192Nq1E1s~.html
254,数据分析师,8k-12k,3-5年,本科,佰汇信息技术,深圳  ,互联网金融,天使轮,100-499人,https://www.zhipin.com/job_detail/489b44e98f255c911XB83Ny0F1Q~.html
211,数据分析师,7-10K,1-3年,本科,佰赢,深圳 福田区 梅林,互联网金融,不需要融资,500-999人,https://www.zhipin.com/job_detail/028fda3bba0dae621Xx-2tS9EFs~.html
250,数据分析师,15k-30k,3-5年,本科,比特空间科技,深圳 南山区 南山中心,互联网,天使轮,20-99人,https://www.zhipin.com/job_detail/111a24994d6376521XJz29m5GFo~.html
233,数据分析师,8k-10k,1-3年,本科,比特派网络科技,深圳 宝安区 松岗,计算机软件,未融资,20-99人,https://www.zhipin.com/job_detail/c170cf6f847e4cd21XN43N-_F1o~.html
225,数据分析,4-8K,经验不限,本科,采集科技,深圳 福田区 车公庙,移动互联网,未融资,20-99人,https://www.zhipin.com/job_detail/7fb3fc7d1a255a281XZ73NS6FlE~.html
73,数据分析师,15k-20k,3-5年,本科,超级猩猩健身,深圳 南山区 华侨城,生活服务,D轮及以上,100-499人,https://www.zhipin.com/job_detail/8178e79309dc11581HFz2Ni0GFY~.html
237,数据分析团队负责人,60k-70k,10年以上,本科,出格科技,深圳 福田区 华强北,移动互联网,A轮,100-499人,https://www.zhipin.com/job_detail/39abf83cd3a591041X1z09m5Els~.html
91,BI 数据分析师,10k-12k,3-5年,本科,传易互联,深圳 南山区 科技园,移动互联网,不需要融资,500-999人,https://www.zhipin.com/job_detail/bc40a2b3e2441fc61HF72926EFE~.html
217,风控数据分析,13-23K,3-5年,本科,传易互联,深圳 南山区 科技园,移动互联网,不需要融资,500-999人,https://www.zhipin.com/job_detail/c11474842883a8701HRy0ty0EFI~.html
252,数据分析总监,25k-35k,3-5年,本科,黛盛贸易,深圳 南山区 前海,贸易/进出口,B轮,100-499人,https://www.zhipin.com/job_detail/1c730aaab2b44e9e1nJ_09y7ElU~.html
146,财务数据分析（道之道科技）,6k-8k,1-3年,大专,道之道,深圳 南山区 科技园,电子商务,未融资,20-99人,https://www.zhipin.com/job_detail/10749e100860b9331ndz09i1E1s~.html
27,数据分析师,9k-12k,3-5年,本科,登云集团,深圳 宝安区 新安,医疗健康,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/6a5d1ef70cd364151HF539i-GFI~.html
44,数据分析师,10k-15k,1-3年,大专,登云集团,深圳 宝安区 新安,医疗健康,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/b368f1c844964cce1HR829m5GFI~.html
85,数据分析师,10k-15k,3-5年,大专,登云集团,深圳 宝安区 新安,医疗健康,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/5b62d5619ec463861HB63tS0ElM~.html
