,0,1,2,3,4,5,6,7,8,9,10,11,12,13
40,5845522,深圳,深圳市随手科技有限公司,"['带薪年假', '弹性工作时间', '年度旅游', '岗位晋升']",500-2000人,"移动互联网,金融",C轮,南山区,本科,开发|测试|运维类,2019-05-09,数据分析师,8k-15k,1-3年
41,5781438,深圳,深圳市百果互动科技有限公司,"['绩效奖金', '年终分红', '带薪年假', '定期体检']",150-500人,"移动互联网,电子商务",B轮,南山区,本科,产品|需求|项目类,2019-05-09,数据分析师,10k-20k,5-10年
42,4864988,深圳,深圳数位传媒科技有限公司,"['大数据弄潮儿', '大牛云集', '高并发', '14薪起']",150-500人,"移动互联网,数据服务",B轮,南山区,本科,开发|测试|运维类,2019-05-09,数据分析师,20k-30k,5-10年
43,5823626,深圳,北京每日优鲜电子商务有限公司,"['节日礼物', '岗位晋升', '管理规范', '五险一金']",500-2000人,"移动互联网,电子商务",C轮,南山区,本科,产品|需求|项目类,2019-05-08,数据分析师,20k-30k,3-5年
44,5778984,深圳,上海氪信信息技术有限公司,[],50-150人,"金融,数据服务",B轮,南山区,本科,开发|测试|运维类,2019-05-08,数据分析师（深圳）,10k-20k,不限
45,5806135,深圳,微民保险代理有限公司,"['带薪年假', '交通补助', '通讯津贴', '定期体检']",150-500人,"金融,移动互联网",不需要融资,南山区,本科,产品|需求|项目类,2019-05-06,数据分析师,10k-20k,1-3年
46,5269516,深圳,北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",2000人以上,"移动互联网,数据服务",C轮,南山区,本科,产品|需求|项目类,1天前发布,高级数据分析师-faceu,10k-20k,3-5年
47,5389270,深圳,深圳市立创电子商务有限公司,"['节日礼物', '五险一金', '水果、下午茶', '带薪年假']",150-500人,"电子商务,硬件",A轮,福田区,本科,开发|测试|运维类,3天前发布,数据分析师（用户方向）,15k-20k,3-5年
48,5420463,深圳,深圳市随手科技有限公司,"['带薪年假', '弹性工作时间', '年度旅游', '岗位晋升']",500-2000人,"移动互联网,金融",C轮,南山区,本科,产品|需求|项目类,2019-05-09,数据分析师,13k-25k,3-5年
49,5523125,深圳,深圳市一面网络技术有限公司,"['技能培训', '海归精英团队', 'Geek分享', '绩效奖金']",50-150人,"移动互联网,数据服务",A轮,南山区,本科,产品|需求|项目类,2019-05-09,数据分析师（数据科学方向）,10k-20k,1-3年
50,5021443,深圳,风变科技（深圳）有限公司,"['专项奖金', '带薪年假', '定期体检', '六险一金']",150-500人,"移动互联网,教育",A轮,南山区,硕士,开发|测试|运维类,2019-05-09,数据分析师,10k-15k,1-3年
51,2783123,深圳,深圳妈妈资本管理有限公司,"['年底双薪', '绩效奖金', '岗位晋升', '年度旅游']",50-150人,金融,A轮,南山区,本科,产品|需求|项目类,2019-05-08,数据分析师,15k-30k,1-3年
52,5173528,深圳,上海懒人易健科技有限公司,[],50-150人,移动互联网,不需要融资,南山区,本科,产品|需求|项目类,2019-05-08,数据分析师,15k-27k,3-5年
