,0,1,2,3,4,5,6,7,8,9,10,11,12,13
80,5712242,杭州,北京嘀嘀无限科技发展有限公司,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",2000人以上,移动互联网,不需要融资,西湖区,本科,运营|编辑|客服类,3天前发布,数据分析专家,20k-35k,5-10年
81,5028573,杭州,杭州嘉云数据科技有限公司,"['海量大数据', '世界级产品', 'AI', '智能供应链']",150-500人,"电子商务,移动互联网",C轮,西湖区,硕士,开发|测试|运维类,18:55发布,数据分析师,8k-15k,应届毕业生
82,5103286,杭州,杭州康策网络科技有限公司,"['股票期权', '绩效奖金', '专项奖金', '年终分红']",150-500人,"移动互联网,医疗健康",不需要融资,余杭区,本科,产品|需求|项目类,3天前发布,医药数据分析,15k-30k,1-3年
83,5721140,杭州,杭州兑吧网络科技有限公司,"['包午餐晚餐', '奖金多多多', '零食下午茶', '全员出国游']",500-2000人,移动互联网,上市公司,西湖区,本科,开发|测试|运维类,2019-05-09,数据分析师,8k-15k,不限
84,5124421,杭州,杭州光奇犇乐电子商务有限公司,"['弹性工作', '技能培训', '五险一金']",15-50人,电子商务,不需要融资,滨江区,大专,市场|商务类,2天前发布,市场专员兼数据分析师,6k-8k,3-5年
85,5399407,杭州,浙江盘石信息技术股份有限公司,"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",2000人以上,"移动互联网,广告营销",上市公司,拱墅区,本科,产品|需求|项目类,2019-05-12,数据分析师,8k-15k,1-3年
86,3761752,杭州,北京数美时代科技有限公司,"['年底双薪', '大数据', '带薪年假', '通讯津贴']",150-500人,"企业服务,数据服务",B轮,余杭区,本科,开发|测试|运维类,1天前发布,数据分析师,15k-30k,1-3年
87,5718252,杭州,杭州美创科技有限公司,"['股票期权', '绩效奖金', '通讯津贴', '岗位晋升']",150-500人,"信息安全,数据服务",B轮,拱墅区,本科,开发|测试|运维类,2019-04-17,算法工程师/数据分析师,15k-25k,3-5年
88,5515110,杭州,中巴虹安（杭州）科技有限公司,[],15-50人,电子商务、金融,天使轮,余杭区,大专,产品|需求|项目类,2019-05-05,数据分析师,9k-18k,1-3年
89,5324543,杭州,无线生活（北京）信息技术有限公司,"['扁平化管理', '技术驱动', '14薪', '六险一金']",500-2000人,"移动互联网 ,电子商务",C轮,西湖区,本科,产品|需求|项目类,09:45发布,数据分析实习生,2k-3k,1年以下
90,5825865,杭州,城云科技（中国）有限公司,[],500-2000人,移动互联网 数据服务,B轮,西湖区,本科,产品|需求|项目类,3天前发布,数据分析师,11k-18k,3-5年
91,2754502,杭州,浙江每日互动网络科技股份有限公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",500-2000人,移动互联网,上市公司,西湖区,本科,开发|测试|运维类,3天前发布,数据分析,10k-16k,1-3年
92,3193648,杭州,浙江执御信息技术有限公司,"['交通补助', '通讯津贴', '年度旅游', '年终奖']",2000人以上,"移动互联网,数据服务",C轮,拱墅区,本科,开发|测试|运维类,2天前发布,资深数据分析师,20k-30k,3-5年
93,5825865,杭州,城云科技（中国）有限公司,[],500-2000人,移动互联网 数据服务,B轮,西湖区,本科,产品|需求|项目类,3天前发布,数据分析师,11k-18k,3-5年
